pipeline,fact_day,n_weeks,mean,ci_lower,ci_upper
neutral,1,15,0.9611,0.9000,1.0000
neutral,2,15,0.9778,0.9333,1.0000
neutral,3,15,1.0000,1.0000,1.0000
neutral,4,15,1.0000,1.0000,1.0000
neutral,5,15,0.9778,0.9333,1.0000
neutral,6,15,0.8889,0.7333,1.0000
neutral,7,15,0.9333,0.8000,1.0000
stylized,1,15,0.1111,0.0167,0.2222
stylized,2,15,0.0389,0.0000,0.0944
stylized,3,15,0.1222,0.0222,0.2444
stylized,4,15,0.0667,0.0000,0.1778
stylized,5,15,0.1667,0.0444,0.3111
stylized,6,15,0.2889,0.1333,0.4556
stylized,7,15,0.9167,0.8444,0.9778
decoupled,1,15,0.8333,0.7500,0.9167
decoupled,2,15,0.8222,0.6667,0.9333
decoupled,3,15,0.8278,0.7167,0.9222
decoupled,4,15,0.7778,0.6222,0.9111
decoupled,5,15,0.7833,0.6222,0.9167
decoupled,6,15,0.8444,0.7556,0.9333
decoupled,7,15,0.9444,0.8833,1.0000
